Fold,Test_MSE,Test_Pearson
1,0.018967430364155796,0.21816255089902348
2,0.01085916235138209,0.12005754870279524
3,0.011855020748141569,-0.04657864574559725
4,0.010383682399714267,-0.21855465551574021
5,0.018065186149824344,0.1663076597507322
6,0.01426026632657993,-0.07465151911419604
7,0.014168377026979376,0.006378781935858287
8,0.013396693889155912,-0.2193996676751201
9,0.012477286260543601,0.005331759704472264
10,0.021051598148334082,0.3104283452105774
11,0.022354637371261026,0.14447144674925888
12,0.011933830290993623,-0.08663948894157461
13,0.004773849889947488,0.019574356891678857
14,0.04535116300252329,0.44698191191123626
15,0.008917712386379036,-0.21944828202820213
16,0.012883829237068043,-0.02851410199457261
17,0.01876959002798401,-0.30999571689219246
18,0.025952515677725243,0.04503512517548756
Mean ± Std,0.0165 ± 0.0086,0.0155 ± 0.1916
