Fold,Test_MSE,Test_Pearson
1,0.020241655923957304,0.05693144104481372
2,0.010810672359199264,0.29219447220686345
3,0.011406316273550647,0.11682412886042579
4,0.010448165772001684,-0.1905290512079977
5,0.017736171359594516,0.32773688153918845
6,0.013722178757884448,0.19666877872194383
7,0.01345573219218316,0.2344157833873127
8,0.012492214415415953,0.290702865687034
9,0.011593156210945693,0.25605975809335046
10,0.023297159835784495,0.17184837813859566
11,0.021714596408057563,0.34436086476683575
12,0.011982542495206895,0.16705243945550408
13,0.004192682660062824,0.3700452960880358
14,0.04517201337323862,0.01963731132587595
15,0.008531674141833196,0.1857909254281644
16,0.014587649504299988,0.41266812204538383
17,0.01725120120357832,0.42328570624432227
18,0.025658543889384763,0.24054728018801447
Mean ± Std,0.016350 ± 0.008775,0.217569 ± 0.147727
