Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.6138211382113821,0.43564356435643564,0.1805750063485959
2,0.5291723202170964,0.42454394693200664,0.1451353570830578
3,0.5463215258855586,0.5779467680608364,0.33179760391847085
4,0.39290586630286495,0.5178764897074756,0.14396944813090834
5,0.6238030095759234,0.5775729646697388,0.3527001555718078
6,0.6073871409028728,0.4635514018691589,0.18361234347337566
7,0.6730506155950753,0.7158145065398336,0.42402634244558945
8,0.5596707818930041,0.3838771593090211,0.13709719407135315
9,0.6131687242798354,0.5982905982905983,0.25349712790376056
10,0.603021978021978,0.6555423122765197,0.17686671146859304
11,0.5906593406593407,0.5742857142857143,0.3698041968776707
12,0.47107438016528924,0.3704918032786885,0.11523033240349445
13,0.6193103448275862,0.603448275862069,0.34402437266225927
14,0.623448275862069,0.6625463535228677,0.3471224875133636
15,0.6740947075208914,0.64,0.4568315436744641
16,0.5048951048951049,0.4971590909090909,0.0043160936308739885
17,0.5902097902097903,0.6422466422466423,0.34193942065263355
18,0.6103896103896104,0.41810344827586204,0.4238774999551913
Mean ± Std,0.580356 ± 0.068381,0.542163 ± 0.103133,0.262912 ± 0.126208
