Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.6151761517615176,0.48736462093862815,0.26069680226103537
2,0.5373134328358209,0.42495784148397975,0.18394472434089704
3,0.611716621253406,0.6603098927294399,0.3470427322643567
4,0.5061391541609823,0.6437007874015748,0.16856572558886385
5,0.655266757865937,0.6368876080691642,0.3440781068201037
6,0.5772913816689467,0.43920145190562615,0.14398148861944535
7,0.6867305061559508,0.7190184049079754,0.495495231195443
8,0.5610425240054869,0.42857142857142855,0.14856285518420592
9,0.6310013717421125,0.6184397163120567,0.2655941688520764
10,0.5618131868131868,0.5274074074074074,0.23073874085381046
11,0.6153846153846154,0.6256684491978609,0.3985767408314316
12,0.5247933884297521,0.34782608695652173,0.05684007653806418
13,0.6220689655172413,0.6246575342465753,0.33702108735303044
14,0.5917241379310345,0.6,0.31955636578694513
15,0.6991643454038997,0.6645962732919255,0.4799938951745598
16,0.4951048951048951,0.5377720870678617,-0.03810384964324417
17,0.5944055944055944,0.6393034825870647,0.42259079874351685
18,0.5642135642135642,0.3836734693877551,0.381086430965471
Mean ± Std,0.591686 ± 0.055522,0.556075 ± 0.108467,0.274792 ± 0.140514
