Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.6598915989159891,0.546112115732369,0.3392909068624253
2,0.5915875169606513,0.5214626391096979,0.239291686626069
3,0.5054495912806539,0.42289348171701113,0.08410036161703092
4,0.5743519781718963,0.6148148148148148,0.2838578374187363
5,0.5704514363885089,0.595360824742268,0.25461187575063804
6,0.5225718194254446,0.5449804432855281,-0.013814846503679298
7,0.533515731874145,0.5190409026798307,0.07552916801563403
8,0.5569272976680384,0.5068702290076336,0.1835195282312245
9,0.6268861454046639,0.5763239875389408,0.2248177594763624
10,0.6291208791208791,0.7127659574468085,0.33576026595396596
11,0.614010989010989,0.6526576019777504,0.28380743965105637
12,0.48760330578512395,0.29277566539923955,0.2226263782215204
13,0.5655172413793104,0.6245530393325387,0.17016751328236904
14,0.4413793103448276,0.5659163987138264,0.1716610732738769
15,0.5668523676880223,0.5351270553064275,0.2487900681414113
16,0.5272727272727272,0.4459016393442623,0.1348680246223418
17,0.6013986013986014,0.6360153256704981,0.28194732307627846
18,0.5858585858585859,0.020477815699658702,0.025299958549517873
Mean ± Std,0.564480 ± 0.053244,0.518558 ± 0.152177,0.197007 ± 0.099400
