Fold,Test_MSE,Test_Pearson
1,3.6089371124260246,0.31597390574973394
2,0.286185108262464,-0.2587884450552199
3,0.25350316184960936,-0.06992563122626608
4,0.2024635330277118,0.24045197625426262
5,0.4645129366155116,0.01192674788714801
6,1.9183662588758106,-0.24589996017650584
7,0.2068679941482365,-0.06841022408697253
8,0.1570386099941495,-0.21627786340230626
9,0.44510129935039167,-0.3497265673763614
10,0.581991988154968,-0.16675067852140604
11,0.7490149273269765,-0.0503203699142905
12,2.7330819021568344,0.0025485778577426232
13,0.8407811870371709,0.17042787746314927
14,4.005881475694566,-0.015068188804060592
15,0.6227505052227027,0.28978805104991684
16,5.058326233544477,0.22560803847062466
17,3.4480068447762933,0.39353635375783375
18,0.7854717846415962,0.08613840961245138
Mean ± Std,1.464905 ± 1.533871,0.016402 ± 0.212894
