Fold,Test_MSE,Test_Pearson
1,0.07436374213195845,0.024664211136567943
2,0.04253186238356969,-0.3512091157756034
3,0.026674624955897144,0.021044808067905662
4,0.029833903737772026,0.22774787082632014
5,0.03636230999072356,0.142780654767336
6,0.02706354050628022,0.2659371169088176
7,0.04915197097012325,0.08066366590700508
8,0.025062784380148712,0.26019135357036405
9,0.02838710748324126,0.1782022038669973
10,0.055066200705441784,0.397193923770905
11,0.03676773412334497,0.14546512280325935
12,0.011058023983196231,0.28786798730845287
13,0.023030679257004753,0.37462567902726374
14,0.03775583681229272,0.35006177795259474
15,0.04731870164294582,0.3769038725190269
16,0.031971691491244514,0.38091776894631324
17,0.029250825621931247,0.4649312325809023
18,0.05466955021857571,0.16560982884016545
Mean ± Std,0.037018 ± 0.014428,0.210756 ± 0.186970
