Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.6978319783197832,0.5784499054820416,0.3644973699853817
2,0.6173677069199457,0.5740181268882175,0.2746586901932082
3,0.5640326975476839,0.6934865900383141,0.18716700654561447
4,0.6152796725784447,0.7513227513227513,-0.07933266914802502
5,0.44596443228454175,0.48538754764930114,-0.002106097380647383
6,0.6114911080711354,0.6528117359413202,0.253720313421512
7,0.49794801641586867,0.5073825503355704,-0.00034393801295456994
8,0.6213991769547325,0.5548387096774193,0.30126629621795853
9,0.5816186556927297,0.5673758865248227,0.20771909010067496
10,0.5178571428571429,0.5942196531791908,0.26060490979091705
11,0.6538461538461539,0.6793893129770993,0.3739518448161212
12,0.4297520661157025,0.29591836734693877,0.2155469309896728
13,0.5627586206896552,0.6138855054811205,0.16507412869541596
14,0.4703448275862069,0.5966386554621849,0.22954388361378258
15,0.6253481894150418,0.5538971807628524,0.2673171903992095
16,0.5496503496503496,0.47039473684210525,0.3307094089739794
17,0.7272727272727273,0.7457627118644068,0.49724601474177876
18,0.47763347763347763,0.021621621621621623,0.05051551600439362
Mean ± Std,0.570411 ± 0.082290,0.552045 ± 0.165443,0.216542 ± 0.143114
