Fold,Accuracy,F1,Pearson_Corr
1,0.6951219512195121,0.576271186440678,0.4455392763152338
2,0.6132971506105834,0.6002805049088359,0.3261750896229768
3,0.7316076294277929,0.7397622192866579,0.5371623563652554
4,0.6766712141882674,0.7208480565371025,0.37075562507143434
5,0.4418604651162791,0.38368580060422963,-0.1111058442256785
6,0.6238030095759234,0.6367239101717305,0.3819193595939349
7,0.6347469220246238,0.638700947225981,0.330009961478199
8,0.6680384087791496,0.6310975609756098,0.378099486189837
9,0.6378600823045267,0.649867374005305,0.34915398228437955
10,0.6881868131868132,0.6969292389853138,0.47860390767593153
11,0.5604395604395604,0.63718820861678,0.31917830604725544
12,0.509641873278237,0.30739299610894943,0.2353399582170351
13,0.6551724137931034,0.6843434343434344,0.4189400603059254
14,0.5820689655172414,0.7078109932497589,0.35353241835720073
15,0.7005571030640668,0.5904761904761905,0.43088391391033576
16,0.5986013986013986,0.4635514018691589,0.21424323710882598
17,0.7034965034965035,0.7095890410958904,0.5198196444609227
18,0.5382395382395382,0.030303030303030304,0.05028745718701103
Mean ± Std,0.6255 ± 0.0742,0.5780 ± 0.1747,0.3349 ± 0.1554
