Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.7208672086720868,0.44324324324324327,0.3280735422749799
2,0.28222523744911804,0.4402116402116402,-0.19087462961649557
3,0.7329700272479565,0.833616298811545,-0.011607371697798814
4,0.927694406548431,0.9624911535739561,-0.5165301853716469
5,0.43091655266757867,0.543859649122807,-0.13700958890598752
6,0.7428180574555403,0.0,0.11794075084010314
7,0.34199726402188785,0.3629139072847682,-0.22454915301100495
8,0.4252400548696845,0.3142389525368249,-0.12643637643381256
9,0.5294924554183813,0.6923766816143497,0.12763223644158106
10,0.5082417582417582,0.6544401544401545,-0.35710231867997666
11,0.5041208791208791,0.4296998420221169,0.2796196154855478
12,0.7066115702479339,0.5318681318681319,0.3691628645325772
13,0.4979310344827586,0.6539923954372624,-0.2968992549867113
14,0.6096551724137931,0.7574978577549272,-0.1912466691211007
15,0.6030640668523677,0.027303754266211604,0.3688664844862696
16,0.4979020979020979,0.0,0.42865539965025
17,0.2699300699300699,0.0,-0.058906643378103994
18,0.16883116883116883,0.28888888888888886,-0.08518111126762394
Mean ± Std,0.527806 ± 0.188956,0.440925 ± 0.288603,-0.009800 ± 0.270996
