Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.537940379403794,0.5065123010130246,0.3138577687234923
2,0.5440976933514247,0.36363636363636365,0.06093975585320291
3,0.5885558583106267,0.6575963718820862,0.3454864086030701
4,0.5225102319236017,0.6615087040618955,0.12190850908530092
5,0.6183310533515732,0.6130374479889042,0.3217220023814449
6,0.5909712722298222,0.42166344294003866,0.1463577937815123
7,0.625170998632011,0.6540404040404041,0.4361736414933566
8,0.5857338820301783,0.47750865051903113,0.2032938436909471
9,0.6255144032921811,0.6213592233009708,0.26341032030802214
10,0.6414835164835165,0.6683608640406608,0.2805281948708047
11,0.6607142857142857,0.6861499364675985,0.42135343266395836
12,0.4724517906336088,0.4205748865355522,0.07491283003976643
13,0.5986206896551725,0.5764192139737991,0.3401000160722769
14,0.6151724137931035,0.6304635761589404,0.34743106884734765
15,0.6782729805013927,0.6327503974562798,0.4505444300506992
16,0.48391608391608393,0.570430733410943,-0.05343657150492295
17,0.579020979020979,0.6165605095541401,0.39134103877094
18,0.7272727272727273,0.47058823529411764,0.4556635785766019
Mean ± Std,0.594208 ± 0.063492,0.569398 ± 0.097167,0.273422 ± 0.145584
