Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.7113821138211383,0.5626283367556468,0.3919761897722243
2,0.6105834464043419,0.530278232405892,0.29588903393926125
3,0.5258855585831063,0.6753731343283582,0.062466892380996654
4,0.40654843110504774,0.41767068273092367,-0.04835387851982314
5,0.4911080711354309,0.5772727272727273,-0.000678221527031439
6,0.5567715458276333,0.5105740181268882,0.13686671587425764
7,0.5321477428180574,0.5183098591549296,0.07224039816772784
8,0.6296296296296297,0.5484949832775919,0.29125493846004646
9,0.6159122085048011,0.5953757225433526,0.2933524507334318
10,0.5398351648351648,0.6338797814207651,0.2364689446834328
11,0.6428571428571429,0.6782178217821783,0.34726724514744134
12,0.4022038567493113,0.27666666666666667,0.1484617252604591
13,0.5903448275862069,0.611764705882353,0.2772306510654115
14,0.48413793103448277,0.6071428571428571,0.29712775216267256
15,0.6671309192200557,0.6224328593996841,0.3226775519284794
16,0.5818181818181818,0.4923599320882852,0.3724850551855732
17,0.7034965034965035,0.744578313253012,0.49867203510912467
18,0.5036075036075036,0.017142857142857144,-0.005425665781668607
Mean ± Std,0.566411 ± 0.087409,0.534454 ± 0.161662,0.221666 ± 0.151492
