Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.6341463414634146,0.5344827586206896,0.3270719906226964
2,0.6146540027137042,0.5773809523809523,0.2577944419419927
3,0.5422343324250681,0.46835443037974683,0.07086593047528775
4,0.567530695770805,0.6071871127633209,0.2714174466345517
5,0.573187414500684,0.6397228637413395,0.25519692258589005
6,0.4856361149110807,0.45507246376811594,0.015850490380295054
7,0.5567715458276333,0.5344827586206896,0.13966458788402245
8,0.6460905349794238,0.5784313725490197,0.32491913243059245
9,0.6255144032921811,0.6224066390041494,0.2550052856911396
10,0.6222527472527473,0.7046186895810956,0.34336723090893445
11,0.6236263736263736,0.6478149100257069,0.3008224194757216
12,0.418732782369146,0.2895622895622896,0.16786871266736747
13,0.6082758620689656,0.6610978520286396,0.23741121520173644
14,0.48551724137931035,0.6189989785495403,0.16004868400306432
15,0.6239554317548747,0.5246478873239436,0.3054534886307596
16,0.5006993006993007,0.43423137876386686,0.0852168647082224
17,0.6265734265734266,0.642570281124498,0.33432661009079384
18,0.49206349206349204,0.022222222222222223,0.0169167885865652
Mean ± Std,0.569303 ± 0.065460,0.531294 ± 0.157683,0.214957 ± 0.107257
