Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.7371273712737128,0.6181102362204725,0.4796790770882511
2,0.666214382632293,0.551094890510949,0.38111959627756875
3,0.6498637602179836,0.6951364175563464,0.42584371763634055
4,0.6289222373806276,0.7536231884057971,0.386754444967222
5,0.7140902872777017,0.731016731016731,0.5163682526952867
6,0.6730506155950753,0.5447619047619048,0.3565745039000485
7,0.7291381668946648,0.7843137254901961,0.5178053432160555
8,0.635116598079561,0.503731343283582,0.3390551403445247
9,0.6858710562414266,0.7052767052767053,0.4055714310805833
10,0.7348901098901099,0.7799315849486887,0.49345828090459953
11,0.7568681318681318,0.7972508591065293,0.5519141793321402
12,0.5440771349862259,0.5580774365821095,0.31819618095665336
13,0.7310344827586207,0.7368421052631579,0.4855136739764935
14,0.8179310344827586,0.8409638554216867,0.6661286959013833
15,0.7325905292479109,0.6417910447761194,0.48900259531894374
16,0.7398601398601399,0.7296511627906976,0.5285111345612747
17,0.5552447552447553,0.6327944572748267,0.17857640886019668
18,0.6594516594516594,0.44075829383886256,0.36788571140226556
Mean ± Std,0.688408 ± 0.067796,0.669174 ± 0.110202,0.438220 ± 0.106834
