Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.6598915989159891,0.5394495412844037,0.34587191172326165
2,0.6051560379918589,0.5344,0.2451638093558667
3,0.5272479564032697,0.6760037348272643,0.1138374562469657
4,0.6016371077762619,0.7330895795246801,-0.05155129813544346
5,0.5075239398084815,0.5275590551181102,0.06473179544323238
6,0.5841313269493844,0.5016393442622951,0.2068146580700687
7,0.5006839945280438,0.49375866851595007,0.013272704989500613
8,0.6063100137174211,0.5710014947683109,0.25836645261549257
9,0.5912208504801097,0.565597667638484,0.23610200733535736
10,0.5027472527472527,0.5731132075471698,0.27826797354801647
11,0.6909340659340659,0.7318235995232419,0.38164673676041866
12,0.47520661157024796,0.31351351351351353,0.19703932168813248
13,0.6110344827586207,0.6602409638554216,0.20688165355269503
14,0.4731034482758621,0.5978947368421053,0.32160096817929706
15,0.6002785515320335,0.5564142194744977,0.32062053652411615
16,0.6811188811188811,0.5546875,0.396757906887381
17,0.73006993006993,0.7463863337713534,0.5279041265614111
18,0.34054834054834054,0.021413276231263382,0.013920106671967138
Mean ± Std,0.571602 ± 0.092351,0.549888 ± 0.163035,0.226514 ± 0.146943
