Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.7330623306233063,0.5887265135699373,0.44557789160792527
2,0.7042062415196744,0.5823754789272031,0.43189255035852303
3,0.6348773841961853,0.6817102137767221,0.42959687977058636
4,0.6330150068212824,0.7565610859728507,0.3199907513933727
5,0.6949384404924761,0.7159235668789808,0.47066848966963476
6,0.652530779753762,0.5296296296296297,0.344495042056544
7,0.7168262653898769,0.7687150837988826,0.5075865258914459
8,0.598079561042524,0.4974271012006861,0.3041066716804916
9,0.7023319615912208,0.711051930758988,0.4279437331447673
10,0.7417582417582418,0.769041769041769,0.591542085152686
11,0.7307692307692307,0.7683215130023641,0.5308187344865232
12,0.5358126721763086,0.5548216644649934,0.31310021646179054
13,0.7158620689655173,0.726790450928382,0.48085860639650085
14,0.8124137931034483,0.8365384615384616,0.6746506569268853
15,0.7506963788300836,0.6897746967071057,0.5150949821564775
16,0.7258741258741259,0.7336956521739131,0.49884201361166586
17,0.5636363636363636,0.6372093023255814,0.1944468049670957
18,0.6507936507936508,0.43457943925233644,0.36858209894297445
Mean ± Std,0.683194 ± 0.068517,0.665716 ± 0.107821,0.436100 ± 0.112082
