Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.7317073170731707,0.6055776892430279,0.4668748134866251
2,0.6797829036635007,0.5693430656934306,0.40873096743433424
3,0.6457765667574932,0.6983758700696056,0.4014520165938267
4,0.6111869031377899,0.7373271889400922,0.3731524692739557
5,0.7305061559507524,0.7260083449235049,0.5236015672547938
6,0.6538987688098495,0.5106382978723404,0.3137085746877913
7,0.6935704514363885,0.7419354838709677,0.5071765905920373
8,0.5843621399176955,0.48903878583473864,0.27866901120890186
9,0.6721536351165981,0.6638537271448663,0.42214546730837404
10,0.7513736263736264,0.7576974564926372,0.6701427201102506
11,0.7362637362637363,0.7777777777777778,0.5121858782650526
12,0.568870523415978,0.5610098176718092,0.31775380783493745
13,0.7062068965517241,0.7163781624500666,0.46505825794654515
14,0.7448275862068966,0.7482993197278912,0.6533989778553643
15,0.7409470752089137,0.6568265682656826,0.4945196115300914
16,0.6867132867132867,0.6616314199395771,0.4579953409775168
17,0.5832167832167832,0.6681514476614699,0.17046717518607857
18,0.6204906204906205,0.37825059101654845,0.3121086326204766
Mean ± Std,0.674547 ± 0.059084,0.648229 ± 0.106043,0.430508 ± 0.122796
