Fold,Test_MSE,Test_Pearson
1,0.06410739714077872,0.5358294683968818
2,0.041229169917768614,-0.38383038019453514
3,0.02377694976409046,0.32218122310658676
4,0.03396017445903018,0.1591013561522553
5,0.035423416179083456,0.14751431343754629
6,0.027823302376367685,0.2987840741035398
7,0.040265869225979294,-0.3605381371693089
8,0.02744895311646167,0.2657891591818096
9,0.02752704071143894,0.34987152602481586
10,0.059288661426307496,-0.1587680864899833
11,0.03341746625870881,0.334788334197471
12,0.01127084625177074,0.3502289985489526
13,0.022573896549144056,0.012956082550511446
14,0.038007636514342705,0.3789971711876189
15,0.05207907328609525,-0.11862938432654148
16,0.03334465303507503,-0.48811296090781653
17,0.027372947773682998,-0.02850667612970681
18,0.05487702040284451,-0.12409620475454507
Mean ± Std,0.0363 ± 0.0134,0.0830 ± 0.2931
