Fold,Test_MSE,Test_Pearson
1,0.07035370024560585,-0.47438119079754687
2,0.04026886544540546,0.32130369375996065
3,0.028534098913355926,-0.24589183202122872
4,0.02663018785009358,0.2211040577728753
5,0.03609483119145446,-0.018566521877897472
6,0.030783818934354053,0.3169964112101237
7,0.03258159064937732,-0.004532737759828875
8,0.030132932677529773,-0.41024872298556564
9,0.03367406405245484,-0.38035447837273917
10,0.0601737453707696,-0.4227353906753426
11,0.03429267081573716,0.4193760596558087
12,0.012330319425274688,0.03374988366451109
13,0.019190550579229266,0.48914658988602544
14,0.03847950524121925,0.47473290296907406
15,0.04920951553227317,0.5880603073679678
16,0.029312486942924466,0.4203988305951392
17,0.027009647383104834,0.21548433760202576
18,0.0584913536976331,0.36961657691959016
Mean ± Std,0.0365 ± 0.0143,0.1063 ± 0.3475
