Fold,Test_MSE,Test_Pearson
1,0.020758870886239206,0.11440652728051809
2,0.010851523825309415,0.1695409563695049
3,0.011518241516029173,-0.019495282170506556
4,0.009223597561543938,0.08803705143063535
5,0.01792170255868741,0.2937347736004219
6,0.015606102323690833,-0.13342411277440444
7,0.013085368282599525,0.19745489916230805
8,0.01264627351184049,0.2755282027634687
9,0.012026573585630192,0.14387023450741576
10,0.02308216285596579,0.34184452103495067
11,0.022436465426140473,0.12252010410814966
12,0.012177057954885087,0.0842746369063624
13,0.004831329919067322,0.07221856330266527
14,0.041900278414031766,0.49727571210534993
15,0.008997316917745088,0.22959858552486415
16,0.013807318109026521,0.10174596596116167
17,0.017721892802292843,-0.10833425139389137
18,0.024959321311805265,-0.06024868495949712
Mean ± Std,0.016308 ± 0.008137,0.133919 ± 0.155766
