Fold,Test_MSE,Test_Pearson
1,0.06776271219934268,0.5378584284151343
2,0.034918571379908746,0.06051144517826529
3,0.023274027329562026,0.39616156417088244
4,0.04226256110008303,0.15580162988688484
5,0.03347323657291586,0.4691239900845675
6,0.030399953151770184,0.28777996396320654
7,0.032699769432253,0.21387135817530345
8,0.031076258535014976,0.14161965342448646
9,0.027975282234234882,0.4113940070596709
10,0.05424992973504873,0.5789330539794492
11,0.03702759611514518,0.30903833802477254
12,0.011969294142431575,0.16337230604262867
13,0.02476424580160833,-0.12293259647015983
14,0.03814640884469846,0.5013883279922041
15,0.05033807253612051,0.166271784785919
16,0.030723850624955053,0.23143528278625838
17,0.030202966194375482,0.2394976953072435
18,0.05462331574428509,0.15307674424366963
Mean ± Std,0.036438 ± 0.012913,0.271900 ± 0.177519
