Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.7208672086720868,0.5795918367346938,0.41247392164541546
2,0.762550881953867,0.6284501061571125,0.4735876687910733
3,0.6389645776566758,0.6848989298454221,0.3673445442153511
4,0.6616643929058663,0.7785714285714286,0.4095737724963425
5,0.707250341997264,0.7154255319148937,0.4725191653815387
6,0.6538987688098495,0.5457809694793537,0.356265557692949
7,0.7250341997264022,0.7798466593647316,0.5030632247513296
8,0.6008230452674898,0.49740932642487046,0.31666705086462266
9,0.7064471879286695,0.7213541666666666,0.4174995448483271
10,0.7568681318681318,0.793465577596266,0.5840132245045497
11,0.7060439560439561,0.7458432304038005,0.5129752590192284
12,0.5674931129476584,0.5409356725146199,0.2884080162089076
13,0.7062068965517241,0.7171314741035857,0.48206648785541517
14,0.8096551724137931,0.8312958435207825,0.6461208773161026
15,0.7437325905292479,0.6737588652482269,0.5115787443880722
16,0.7062937062937062,0.7107438016528925,0.4958875348533013
17,0.5594405594405595,0.6349942062572422,0.1666402013490231
18,0.6724386724386724,0.43107769423558895,0.3235294316330438
Mean ± Std,0.689204 ± 0.064759,0.667254 ± 0.107918,0.430012 ± 0.111529
