Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.6707317073170732,0.5070993914807302,0.32435652883246313
2,0.6105834464043419,0.5176470588235295,0.30498606064474676
3,0.5463215258855586,0.560105680317041,0.06257438768388693
4,0.5934515688949522,0.6598173515981736,0.2688233971399398
5,0.5636114911080712,0.5987421383647799,0.20508028587214
6,0.5677154582763337,0.58311345646438,0.09414095899378855
7,0.573187414500684,0.6397228637413395,0.12620073325581435
8,0.6021947873799726,0.5845272206303725,0.2560635317713934
9,0.5912208504801097,0.5962059620596206,0.1987460885112847
10,0.7362637362637363,0.8212290502793296,0.3683097281645216
11,0.6414835164835165,0.6933019976498237,0.3159398907515092
12,0.37052341597796146,0.2757527733755943,0.2380892502756109
13,0.6013793103448276,0.6681974741676234,0.21082136180511102
14,0.4703448275862069,0.6041237113402061,0.15176059376708517
15,0.5919220055710307,0.5251215559157212,0.24037824419338338
16,0.4965034965034965,0.4658753709198813,0.23627934131254455
17,0.6055944055944056,0.625,0.3047051546577221
18,0.5656565656565656,0.025889967637540454,0.02305449134524625
Mean ± Std,0.577705 ± 0.076014,0.552860 ± 0.167328,0.218351 ± 0.092723
