Fold,Test_Accuracy,Test_F1,Test_Pearson
1,0.6531165311653117,0.5114503816793893,0.3198860130733533
2,0.6065128900949797,0.5034246575342466,0.3069481567360023
3,0.5817438692098093,0.5986928104575163,0.12004060024216158
4,0.5716234652114598,0.6198547215496368,0.25104433099610957
5,0.5772913816689467,0.6227106227106227,0.2022022785728834
6,0.5499316005471956,0.5007587253414264,0.13168217288762335
7,0.5595075239398085,0.6184834123222749,0.11188520138665478
8,0.5829903978052127,0.5112540192926045,0.20062566528816772
9,0.5925925925925926,0.5991902834008097,0.2349650398781038
10,0.6510989010989011,0.7320675105485233,0.36151741997340026
11,0.6565934065934066,0.6980676328502415,0.3227388687753576
12,0.5082644628099173,0.3067961165048544,0.23136368803229207
13,0.6137931034482759,0.7071129707112971,0.2162707510221683
14,0.46620689655172415,0.5939139559286464,0.18328672610215163
15,0.6559888579387186,0.5166340508806262,0.34946978292412256
16,0.45454545454545453,0.4657534246575342,0.19774220411541013
17,0.6195804195804195,0.6964285714285714,0.306372215824417
18,0.4704184704184704,0.0160857908847185,-0.005555896449535688
Mean ± Std,0.576211 ± 0.063512,0.545482 ± 0.163709,0.224583 ± 0.093151
